Date,Open,High,Low,Close,Volume,Ticker,Year-Month
12/14/20,213.1,216.21,212.88,214.2,28798379,MSFT,2020-12
12/15/20,215.17,215.42,212.24,214.13,27018106,MSFT,2020-12
12/16/20,214.75,220.11,214.72,219.28,35023253,MSFT,2020-12
12/17/20,219.87,220.89,217.92,219.42,32515784,MSFT,2020-12
12/18/20,218.59,219.69,216.02,218.59,63354922,MSFT,2020-12
12/21/20,217.55,224,217.28,222.59,37181886,MSFT,2020-12
12/22/20,222.69,225.63,221.85,223.94,22643397,MSFT,2020-12
12/23/20,223.11,223.56,220.8,221.02,18699638,MSFT,2020-12
12/24/20,221.42,223.61,221.2,222.75,10550572,MSFT,2020-12
12/28/20,224.45,226.03,223.02,224.96,17933496,MSFT,2020-12
12/29/20,226.31,227.18,223.58,224.15,17403213,MSFT,2020-12
12/30/20,225.23,225.63,221.47,221.68,20272337,MSFT,2020-12
12/31/20,221.7,223,219.68,222.42,20942132,MSFT,2020-12
12/1/20,597.59,597.85,572.05,584.76,40382832,TSLA,2020-12
12/2/20,556.44,571.54,541.21,568.82,47775653,TSLA,2020-12
12/3/20,590.02,598.97,582.43,593.38,42552003,TSLA,2020-12
12/4/20,591.01,599.04,585.5,599.04,29401314,TSLA,2020-12
12/7/20,604.92,648.79,603.05,641.76,56309709,TSLA,2020-12
12/8/20,625.51,651.28,618.5,649.88,64265029,TSLA,2020-12
12/9/20,653.69,654.32,588,604.48,71291190,TSLA,2020-12
12/10/20,574.37,627.75,566.34,627.07,67083153,TSLA,2020-12
12/11/20,615.01,624,596.8,609.99,46474974,TSLA,2020-12
12/14/20,619,642.75,610.2,639.83,52040649,TSLA,2020-12
12/15/20,643.28,646.9,623.8,633.25,45223559,TSLA,2020-12
12/16/20,628.23,632.5,605,622.77,42095813,TSLA,2020-12
12/17/20,628.19,658.82,619.5,655.9,56270144,TSLA,2020-12
12/18/20,668.9,695,628.54,695,222126194,TSLA,2020-12
12/21/20,666.24,668.5,646.07,649.86,58045264,TSLA,2020-12
12/22/20,648,649.88,614.23,640.34,51861644,TSLA,2020-12
12/23/20,632.2,651.5,622.57,645.98,33172972,TSLA,2020-12
12/24/20,642.99,666.09,641,661.77,22865568,TSLA,2020-12
12/28/20,674.51,681.4,660.8,663.69,32278561,TSLA,2020-12
12/29/20,661,669.9,655,665.99,22910811,TSLA,2020-12
12/30/20,672,696.6,668.36,694.78,42846021,TSLA,2020-12
12/31/20,699.99,718.72,691.12,705.67,49649928,TSLA,2020-12
12/1/20,279.16,289.3,278.96,286.55,20777906,FB,2020-12
12/2/20,285.36,291.78,280.83,287.52,17361624,FB,2020-12
12/3/20,286.25,286.65,281.07,281.85,12921694,FB,2020-12
12/4/20,280.3,283.46,279.3,279.7,10880299,FB,2020-12
12/7/20,279.19,288.49,278.2,285.58,13007665,FB,2020-12
12/8/20,286.01,286.43,281.55,283.4,10747650,FB,2020-12
12/9/20,283.66,287.63,271.75,277.92,25189707,FB,2020-12
12/10/20,275.54,278.73,271.86,277.12,20065091,FB,2020-12
12/11/20,274.53,276.48,270.25,273.55,14391401,FB,2020-12
12/14/20,273.37,277.22,271.56,274.19,16376880,FB,2020-12
12/15/20,274.83,276.08,267.47,275.55,23979461,FB,2020-12
12/16/20,274.76,277.86,272.51,275.67,15884999,FB,2020-12
12/17/20,277.07,280.44,273.61,274.48,16377844,FB,2020-12
12/18/20,275.77,278,271.14,276.4,26693249,FB,2020-12
12/21/20,272.98,274.67,267.79,272.79,16553740,FB,2020-12
12/22/20,271.5,271.5,264.63,267.09,17334999,FB,2020-12
12/23/20,266.89,272.17,266.23,268.11,14329038,FB,2020-12
12/24/20,268.88,270.4,266.2,267.4,6702033,FB,2020-12
12/28/20,268.74,277.3,265.66,277,23299707,FB,2020-12
12/29/20,276.95,280.51,276.28,276.78,16382995,FB,2020-12
12/30/20,277.95,278.08,271.71,271.87,11803795,FB,2020-12
12/31/20,272,277.09,269.81,273.16,12900408,FB,2020-12
1/4/21,133.52,133.61,126.76,129.41,143301887,AAPL,2021-1
1/5/21,128.89,131.74,128.43,131.01,97664898,AAPL,2021-1
1/6/21,127.72,131.05,126.38,126.6,155087970,AAPL,2021-1
1/7/21,128.36,131.63,127.86,130.92,109578157,AAPL,2021-1
1/8/21,132.43,132.63,130.23,132.05,105158245,AAPL,2021-1
1/11/21,129.19,130.17,128.5,128.98,100620880,AAPL,2021-1
1/12/21,128.5,129.69,126.86,128.8,91951145,AAPL,2021-1
1/13/21,128.76,131.45,128.49,130.89,88636831,AAPL,2021-1
1/14/21,130.8,131,128.76,128.91,90221755,AAPL,2021-1
1/15/21,128.78,130.22,127,127.14,111598531,AAPL,2021-1
1/19/21,127.78,128.71,126.94,127.83,90757329,AAPL,2021-1
1/20/21,128.66,132.49,128.55,132.03,104319489,AAPL,2021-1
1/21/21,133.8,139.67,133.59,136.87,120529544,AAPL,2021-1
1/22/21,136.28,139.85,135.02,139.07,114459360,AAPL,2021-1
1/25/21,143.07,145.09,136.54,142.92,157611713,AAPL,2021-1
1/26/21,143.6,144.3,141.37,143.16,98390555,AAPL,2021-1
1/27/21,143.43,144.3,140.41,142.06,140843759,AAPL,2021-1
1/28/21,139.52,141.99,136.7,137.09,142621128,AAPL,2021-1
1/29/21,135.83,136.74,130.21,131.96,177523812,AAPL,2021-1
1/4/21,1757.54,1760.65,1707.85,1728.24,1901855,GOOG,2021-1
1/5/21,1725,1747.67,1718.02,1740.92,1145347,GOOG,2021-1
1/6/21,1702.63,1748,1699,1735.29,2602114,GOOG,2021-1
1/7/21,1740.06,1788.4,1737.05,1787.25,2265022,GOOG,2021-1
1/8/21,1787.98,1809.84,1773.54,1807.21,2051002,GOOG,2021-1
1/11/21,1786.07,1794.32,1760.52,1766.72,1209735,GOOG,2021-1
1/12/21,1753.92,1778.04,1725.31,1746.55,1357691,GOOG,2021-1
1/13/21,1738.58,1765.04,1738.01,1754.4,1094131,GOOG,2021-1
1/14/21,1753.62,1775.01,1733.4,1740.18,1179477,GOOG,2021-1
1/15/21,1738.19,1756,1721.55,1736.19,1342170,GOOG,2021-1
1/19/21,1752.25,1809.28,1741.46,1790.86,1734614,GOOG,2021-1
